alpha,run,te_delta,substrate_robustness,polarization_mean,variant_te_deltas
0.8,2,0.855083612239569,0.9998972185717989,0.18488644356024214,"[np.float64(0.8551268333504708), np.float64(0.8551375336199141), np.float64(0.8549184581118346)]"
0.8,3,0.855083612239569,0.9998972185717989,0.18488644356024214,"[np.float64(0.8551268333504708), np.float64(0.8551375336199141), np.float64(0.8549184581118346)]"
0.8,4,0.855083612239569,0.9998972185717989,0.18488644356024214,"[np.float64(0.8551268333504708), np.float64(0.8551375336199141), np.float64(0.8549184581118346)]"
0.8,5,0.855083612239569,0.9998972185717989,0.18488644356024214,"[np.float64(0.8551268333504708), np.float64(0.8551375336199141), np.float64(0.8549184581118346)]"
0.8,6,0.855083612239569,0.9998972185717989,0.18488644356024214,"[np.float64(0.8551268333504708), np.float64(0.8551375336199141), np.float64(0.8549184581118346)]"
0.8,7,0.855083612239569,0.9998972185717989,0.18488644356024214,"[np.float64(0.8551268333504708), np.float64(0.8551375336199141), np.float64(0.8549184581118346)]"
0.8,8,0.855083612239569,0.9998972185717989,0.18488644356024214,"[np.float64(0.8551268333504708), np.float64(0.8551375336199141), np.float64(0.8549184581118346)]"
0.8,9,0.855083612239569,0.9998972185717989,0.18488644356024214,"[np.float64(0.8551268333504708), np.float64(0.8551375336199141), np.float64(0.8549184581118346)]"
0.9,0,0.8550823453594935,0.9999089532993749,0.1914813862127524,"[np.float64(0.8550924349169254), np.float64(0.8551170599178697), np.float64(0.8549198744293943)]"
0.9,1,0.8550823453594935,0.9999089532993749,0.1914813862127524,"[np.float64(0.8550924349169254), np.float64(0.8551170599178697), np.float64(0.8549198744293943)]"
0.9,2,0.8550823453594935,0.9999089532993749,0.1914813862127524,"[np.float64(0.8550924349169254), np.float64(0.8551170599178697), np.float64(0.8549198744293943)]"
0.9,3,0.8550823453594935,0.9999089532993749,0.1914813862127524,"[np.float64(0.8550924349169254), np.float64(0.8551170599178697), np.float64(0.8549198744293943)]"
0.9,4,0.8550823453594935,0.9999089532993749,0.1914813862127524,"[np.float64(0.8550924349169254), np.float64(0.8551170599178697), np.float64(0.8549198744293943)]"
0.9,5,0.8550823453594935,0.9999089532993749,0.1914813862127524,"[np.float64(0.8550924349169254), np.float64(0.8551170599178697), np.float64(0.8549198744293943)]"
0.9,6,0.8550834068668245,0.9999193555362367,0.2522194749712104,"[np.float64(0.8552384053381105), np.float64(0.8552441689505308), np.float64(0.8551322018844001)]"
0.9,7,0.8550834068668245,0.9999193555362367,0.2522194749712104,"[np.float64(0.8552384053381105), np.float64(0.8552441689505308), np.float64(0.8551322018844001)]"
0.9,8,0.8550834068668245,0.9999193555362367,0.2522194749712104,"[np.float64(0.8552384053381105), np.float64(0.8552441689505308), np.float64(0.8551322018844001)]"
0.9,9,0.8550834068668245,0.9999193555362367,0.2522194749712104,"[np.float64(0.8552384053381105), np.float64(0.8552441689505308), np.float64(0.8551322018844001)]"
1.0,0,0.8550958028657913,0.9999199358214759,0.2570060939295008,"[np.float64(0.8552174060622597), np.float64(0.8552849107596926), np.float64(0.855176742846917)]"
1.0,1,0.8550958028657913,0.9999199358214759,0.2570060939295008,"[np.float64(0.8552174060622597), np.float64(0.8552849107596926), np.float64(0.855176742846917)]"
1.0,2,0.8550958028657913,0.9999199358214759,0.2570060939295008,"[np.float64(0.8552174060622597), np.float64(0.8552849107596926), np.float64(0.855176742846917)]"
1.0,3,0.8550958028657913,0.9999199358214759,0.2570060939295008,"[np.float64(0.8552174060622597), np.float64(0.8552849107596926), np.float64(0.855176742846917)]"
1.0,4,0.8550958028657913,0.9999199358214759,0.2570060939295008,"[np.float64(0.8552174060622597), np.float64(0.8552849107596926), np.float64(0.855176742846917)]"
1.0,5,0.8550958028657913,0.9999199358214759,0.2570060939295008,"[np.float64(0.8552174060622597), np.float64(0.8552849107596926), np.float64(0.855176742846917)]"
